Date,AMBEV,ODONTPREV,VIVO,PETROBRAS,B.BRASIL,BOVA
2015-01-02,16.020000457763672,9.369999885559082,16.3799991607666,9.359999656677246,22.649999618530273,47.2599983215332
2015-01-05,15.729999542236328,9.619999885559082,16.440000534057617,8.5600004196167,22.18000030517578,46.31999969482422
2015-01-06,16.329999923706055,9.550000190734863,16.56999969482422,8.279999732971191,22.489999771118164,46.58000183105469
2015-01-07,16.559999465942383,9.6899995803833,16.43000030517578,8.670000076293945,23.479999542236328,48.150001525878906
2015-01-08,16.540000915527344,9.65999984741211,16.739999771118164,9.229999542236328,23.559999465942383,48.5099983215332
2015-01-09,16.5,9.869999885559082,16.56999969482422,9.510000228881836,22.540000915527344,47.529998779296875
2015-01-12,16.709999084472656,9.800000190734863,16.829999923706055,8.84000015258789,22.149999618530273,46.83000183105469
2015-01-13,16.709999084472656,10.069999694824219,17.110000610351562,9.09000015258789,22.020000457763672,46.63999938964844
2015-01-14,16.760000228881836,9.949999809265137,16.780000686645508,8.90999984741211,22.18000030517578,46.47999954223633
2015-01-15,16.790000915527344,9.65999984741211,16.5,9.3100004196167,22.040000915527344,47.0
2015-01-16,16.90999984741211,10.100000381469727,16.690000534057617,9.4399995803833,22.299999237060547,47.599998474121094
2015-01-20,16.899999618530273,10.510000228881836,16.610000610351562,9.3100004196167,22.100000381469727,46.52000045776367
2015-01-21,17.09000015258789,10.75,16.59000015258789,9.899999618530273,22.65999984741211,47.810001373291016
2015-01-22,17.280000686645508,10.350000381469727,17.34000015258789,10.229999542236328,22.850000381469727,48.119998931884766
2015-01-23,17.030000686645508,10.100000381469727,17.75,9.979999542236328,22.790000915527344,47.29999923706055
2015-01-26,16.989999771118164,10.149999618530273,17.81999969482422,9.829999923706055,22.530000686645508,47.189998626708984
2015-01-27,16.959999084472656,10.300000190734863,17.969999313354492,10.140000343322754,23.0,47.34000015258789
2015-01-28,17.030000686645508,10.399999618530273,17.75,9.109999656677246,22.010000228881836,46.33000183105469
2015-01-29,17.65999984741211,10.380000114440918,17.780000686645508,8.670000076293945,21.549999237060547,46.380001068115234
2015-01-30,17.690000534057617,10.350000381469727,17.299999237060547,8.300000190734863,20.65999984741211,45.61000061035156
2015-02-02,17.489999771118164,10.520000457763672,17.440000534057617,8.789999961853027,20.200000762939453,46.27000045776367
2015-02-03,17.549999237060547,10.550000190734863,17.75,9.970000267028809,20.850000381469727,47.63999938964844
2015-02-04,17.34000015258789,10.640000343322754,17.530000686645508,10.020000457763672,22.299999237060547,47.77000045776367
2015-02-05,17.739999771118164,10.600000381469727,17.770000457763672,9.829999923706055,22.790000915527344,47.880001068115234
2015-02-06,17.90999984741211,10.640000343322754,17.93000030517578,9.119999885559082,21.899999618530273,47.29999923706055
2015-02-09,18.170000076293945,10.40999984741211,18.030000686645508,9.399999618530273,22.459999084472656,47.91999816894531
2015-02-10,18.040000915527344,10.25,18.420000076293945,8.90999984741211,21.709999084472656,47.15999984741211
2015-02-11,18.040000915527344,10.0,18.780000686645508,9.079999923706055,21.950000762939453,46.95000076293945
2015-02-12,18.09000015258789,10.050000190734863,18.989999771118164,9.449999809265137,23.110000610351562,48.130001068115234
2015-02-13,18.0,10.0,19.149999618530273,10.029999732971191,24.600000381469727,49.38999938964844
2015-02-18,18.200000762939453,10.109999656677246,19.719999313354492,10.039999961853027,23.950000762939453,49.90999984741211
2015-02-19,18.229999542236328,10.149999618530273,19.6200008392334,9.710000038146973,24.350000381469727,49.79999923706055
2015-02-20,18.170000076293945,10.109999656677246,19.34000015258789,9.640000343322754,23.969999313354492,49.84000015258789
2015-02-23,18.479999542236328,10.100000381469727,19.110000610351562,9.5,23.8799991607666,49.79999923706055
2015-02-24,18.479999542236328,10.109999656677246,19.0,9.899999618530273,23.649999618530273,50.40999984741211
2015-02-25,18.25,10.130000114440918,19.489999771118164,9.399999618530273,23.149999618530273,50.36000061035156
2015-02-26,18.489999771118164,10.489999771118164,19.809999465942383,9.229999542236328,23.010000228881836,50.310001373291016
2015-02-27,18.309999465942383,10.470000267028809,19.799999237060547,9.550000190734863,23.719999313354492,50.0099983215332
2015-03-02,18.100000381469727,10.680000305175781,20.040000915527344,9.420000076293945,23.670000076293945,49.59000015258789
2015-03-03,18.43000030517578,10.710000038146973,20.0,9.569999694824219,23.6299991607666,49.83000183105469
2015-03-04,18.309999465942383,10.989999771118164,20.059999465942383,9.270000457763672,22.440000534057617,49.06999969482422
2015-03-05,18.360000610351562,10.699999809265137,19.90999984741211,9.239999771118164,22.540000915527344,48.95000076293945
2015-03-06,18.229999542236328,10.600000381469727,19.549999237060547,9.25,22.0,48.54999923706055
2015-03-09,18.239999771118164,10.449999809265137,19.889999389648438,8.920000076293945,21.139999389648438,47.75
2015-03-10,17.700000762939453,10.619999885559082,19.6200008392334,8.520000457763672,21.270000457763672,46.95000076293945
2015-03-11,18.139999389648438,10.720000267028809,19.739999771118164,8.739999771118164,21.610000610351562,47.52000045776367
2015-03-12,18.040000915527344,10.979999542236328,19.760000228881836,8.470000267028809,21.899999618530273,47.45000076293945
2015-03-13,18.139999389648438,11.029999732971191,19.81999969482422,8.34000015258789,21.3700008392334,47.209999084472656
2015-03-16,18.0,10.890000343322754,19.84000015258789,8.390000343322754,21.3700008392334,47.380001068115234
2015-03-17,18.170000076293945,10.739999771118164,19.700000762939453,8.859999656677246,22.450000762939453,48.91999816894531
2015-03-18,18.43000030517578,10.850000381469727,19.59000015258789,9.199999809265137,24.040000915527344,50.099998474121094
